,precision,recall,f1-score,support
0,0.9238476953907816,0.9165009940357853,0.9201596806387226,503.0
1,0.8199697428139183,0.8856209150326797,0.8515318146111548,612.0
2,0.8065326633165829,0.7008733624454149,0.7499999999999999,458.0
3,0.7794117647058824,0.7978494623655914,0.7885228480340064,465.0
4,0.8633540372670807,0.8597938144329897,0.8615702479338844,485.0
5,0.9612277867528272,0.9690553745928339,0.9651257096512571,614.0
6,0.9962962962962963,0.9975278121137207,0.9969116738727609,809.0
accuracy,0.890522047643183,0.890522047643183,0.890522047643183,0.890522047643183
macro avg,0.8786628552204813,0.8753173907170023,0.8762602821059694,3946.0
weighted avg,0.8903344086709034,0.890522047643183,0.8897848997404932,3946.0
